id	proveedor	tipo_envio	peso	volumen	fecha	origen	destino	precio
683	Quimicas Babum	2	42	58	24/01/2003	Lerida	Castellon	260.9
684	Vigas Figas	1	40	40	12/12/2006	Orense	Barcelona	43.08
685	Electronica Chispas	3	10	41	25/12/2002	La Coruna	Huelva	27.77
686	Pepe Gotera y Otilio	1	75	74	29/06/2006	Logrono	Castellon	354.8
687	Pepe Gotera y Otilio	2	1	51	20/06/2000	Jaen	Vitoria	254.51
688	Coches Coco	3	40	74	23/03/2003	Tarragona	Cordoba	259.77
689	Vigas Figas	3	20	83	05/08/2000	La Coruna	Granada	459.32
690	Pepe Gotera y Otilio	1	49	34	26/05/2001	Huesca	Salamanca	2.53
691	Infraestructuras Fracturas	1	2	66	26/11/2002	Avila	Jaen	3.3
692	Vigas Figas	2	83	13	09/04/2001	Gerona	Palencia	198.94
693	Pepe Gotera y Otilio	1	21	9	29/09/2005	Palencia	Zaragoza	2.73
694	Vigas Figas	3	71	94	09/10/2002	Guadalajara	Caceres	60.91
695	Vigas Figas	3	33	5	09/03/2004	Huesca	Las Palmas de Gran Canaria	168.01
696	Coches Coco	3	56	21	04/06/2005	Burgos	Santa Cruz de Tenerife	62.55
697	Cafes el amanencer	3	16	87	01/10/2007	Lerida	Santander	46.31
698	Pepe Gotera y Otilio	1	42	57	10/06/2003	Badajoz	Santa Cruz de Tenerife	351.12
699	Quimicas Babum	3	74	15	22/07/2002	Segovia	Almeria	78.2
700	Pepe Gotera y Otilio	1	89	2	24/09/2003	Badajoz	Guadalajara	155.64
701	Vigas Figas	2	27	12	02/04/2001	San Sebastian	La Coruna	194.64
702	Pepe Gotera y Otilio	2	54	88	13/07/2006	Murcia	Madrid	134.07
703	Coches Coco	3	83	0	09/12/2000	Granada	Zamora	279.61
704	Vigas Figas	3	58	62	24/06/2000	Granada	Albacete	47.38
705	Pepe Gotera y Otilio	3	95	70	23/05/2006	Cuenca	Caceres	20.79
706	Infraestructuras Fracturas	2	62	14	09/01/2000	Granada	Santa Cruz de Tenerife	50.7
707	Cafes el amanencer	2	91	88	15/05/2003	Murcia	Cadiz	438.47
708	Pepe Gotera y Otilio	3	74	8	13/10/2006	Cordoba	Ceuta	258.35
709	Electronica Chispas	3	56	57	02/11/2005	Avila	Pamplona	107.77
710	Quimicas Babum	3	72	48	25/08/2004	Cuenca	Almeria	178.74
711	Cafes el amanencer	1	72	76	05/05/2002	Madrid	Lerida	226.25
712	Quimicas Babum	2	63	50	06/11/2003	Melilla	Jaen	369.17
713	Quimicas Babum	3	32	64	03/01/2000	Albacete	Madrid	88.02
714	Pepe Gotera y Otilio	1	11	26	05/12/2003	Granada	Santander	145.1
715	Vigas Figas	2	16	22	08/08/2000	Tarragona	Guadalajara	199.93
716	Cafes el amanencer	3	27	64	03/10/2001	Granada	Pontevedra	206.5
717	Vigas Figas	2	82	14	14/12/2000	Lerida	Badajoz	357.86
718	Electronica Chispas	3	91	5	22/02/2001	La Coruna	Zaragoza	117.41
719	Vigas Figas	2	37	23	02/09/2001	Logrono	Huelva	203.43
720	Coches Coco	2	0	21	22/02/2006	Alicante	Almeria	16.09
721	Coches Coco	3	61	5	31/01/2004	Segovia	Tarragona	123.1
722	Coches Coco	3	31	66	25/08/2000	Almeria	Las Palmas de Gran Canaria	123.94
723	Quimicas Babum	2	16	30	31/03/2006	Oviedo	Zaragoza	62.79
724	Infraestructuras Fracturas	3	30	25	23/12/2005	Zaragoza	Guadalajara	92.94
725	Electronica Chispas	1	14	39	02/08/2004	Pontevedra	Madrid	173.14
726	Coches Coco	2	92	65	10/09/2004	Granada	Santander	129.87
727	Pepe Gotera y Otilio	2	66	49	15/04/2000	Barcelona	Ceuta	68.07
728	Vigas Figas	3	44	1	02/09/2005	Badajoz	Castellon	44.01
729	Pepe Gotera y Otilio	3	82	72	22/02/2002	Lugo	Palencia	93.55
730	Pepe Gotera y Otilio	3	51	45	21/10/2003	Huelva	Lerida	150.34
731	Coches Coco	3	87	60	25/04/2006	La Coruna	San Sebastian	19.59
732	Infraestructuras Fracturas	2	43	83	29/05/2003	Avila	Orense	111.0
733	Cafes el amanencer	3	24	44	01/07/2000	Alicante	Pontevedra	139.35
734	Coches Coco	1	18	27	30/11/2006	Pamplona	Lugo	7.24
735	Quimicas Babum	2	1	19	23/03/2007	Santa Cruz de Tenerife	La Coruna	6.41
736	Vigas Figas	1	21	11	20/02/2005	Melilla	Ciudad Real	206.46
737	Quimicas Babum	2	18	99	30/03/2001	Logrono	Madrid	124.99
738	Coches Coco	3	37	27	29/05/2002	Alicante	Jaen	0.32
739	Pepe Gotera y Otilio	2	72	57	19/02/2001	Logrono	Alicante	55.4
740	Quimicas Babum	3	96	39	17/04/2005	San Sebastian	La Coruna	240.8
741	Coches Coco	1	80	27	12/05/2007	Logrono	Logrono	178.31
742	Cafes el amanencer	3	39	24	04/06/2006	Palma de Mallorca	Bilbao	75.03
743	Quimicas Babum	2	54	100	21/03/2001	Soria	Zamora	264.43
744	Pepe Gotera y Otilio	1	2	80	11/04/2004	Palencia	Logrono	121.09
745	Quimicas Babum	3	16	84	19/09/2001	Lugo	Zamora	5.78
746	Pepe Gotera y Otilio	1	95	41	07/02/2002	Barcelona	Melilla	157.55
747	Cafes el amanencer	1	48	62	28/08/2000	Cordoba	Leon	13.7
748	Cafes el amanencer	1	100	24	27/07/2005	Vitoria	Bilbao	163.28
749	Quimicas Babum	1	12	26	12/03/2007	Granada	Pamplona	47.97
750	Vigas Figas	1	87	18	14/06/2006	Guadalajara	Almeria	27.23
751	Infraestructuras Fracturas	2	87	55	08/04/2001	Madrid	Santa Cruz de Tenerife	11.11
752	Coches Coco	3	68	95	30/11/2000	Vitoria	Guadalajara	72.84
753	Coches Coco	2	31	90	21/03/2000	Gerona	Almeria	16.62
754	Quimicas Babum	2	71	52	01/02/2004	Badajoz	Lerida	40.09
755	Electronica Chispas	2	79	70	25/11/2003	Melilla	Teruel	79.49
756	Coches Coco	1	27	46	23/06/2001	Leon	Leon	313.67
757	Quimicas Babum	1	52	43	27/12/2001	Bilbao	Huesca	211.55
758	Electronica Chispas	2	14	11	16/10/2000	Palencia	Madrid	388.04
759	Quimicas Babum	3	1	23	17/03/2006	Melilla	Toledo	115.96
760	Coches Coco	3	7	45	20/09/2005	Palencia	Madrid	12.21
761	Coches Coco	2	31	19	10/02/2006	Zaragoza	Segovia	27.13
762	Electronica Chispas	2	52	67	29/12/2005	Zamora	La Coruna	135.99
763	Coches Coco	2	57	75	07/08/2000	Santander	Teruel	71.38
764	Coches Coco	3	16	9	20/07/2005	Cadiz	Pamplona	149.73
765	Quimicas Babum	1	36	99	24/06/2000	Melilla	Las Palmas de Gran Canaria	82.76
766	Quimicas Babum	1	23	6	13/04/2006	Malaga	Malaga	63.17
767	Electronica Chispas	2	14	78	15/10/2007	Vitoria	Zamora	421.44
768	Infraestructuras Fracturas	2	27	72	13/04/2002	Ceuta	Murcia	127.0
769	Pepe Gotera y Otilio	1	37	28	31/05/2003	Melilla	Sevilla	262.07
770	Pepe Gotera y Otilio	3	71	47	07/12/2007	San Sebastian	Burgos	355.07
771	Pepe Gotera y Otilio	2	8	5	13/04/2000	Barcelona	La Coruna	110.19
772	Coches Coco	2	10	5	06/10/2004	Avila	Pamplona	121.94
773	Infraestructuras Fracturas	2	57	15	09/04/2006	Ceuta	Oviedo	69.21
774	Vigas Figas	2	24	94	17/02/2003	Cuenca	Zamora	28.83
775	Vigas Figas	2	62	60	07/02/2001	Palma de Mallorca	Caceres	136.52
776	Cafes el amanencer	1	78	36	22/01/2003	Las Palmas de Gran Canaria	Tarragona	238.87
777	 Pepe Gotera y Otilio	1	73	11	31/01/2005	Barcelona	La Coruna	86.15
778	Pepe Gotera y Otilio	2	11	82	28/05/2000	Zamora	Gerona	226.09
779	Pepe Gotera y Otilio	3	76	57	18/04/2002	Santa Cruz de Tenerife	Burgos	55.83
780	Pepe Gotera y Otilio	3	100	16	16/08/2007	Valencia	Cuenca	196.53
781	Vigas Figas	3	36	46	22/01/2005	Leon	Albacete	190.26
782	Coches Coco	2	97	56	06/09/2004	Cordoba	Castellon	36.87
783	Coches Coco	2	19	38	11/03/2003	Cordoba	Palma de Mallorca	2.9
784	Cafes el amanencer	3	5	56	29/09/2007	Barcelona	Palma de Mallorca	132.46
785	Electronica Chispas	2	79	42	28/01/2007	Bilbao	Salamanca	220.59
786	Infraestructuras Fracturas	2	18	80	04/12/2003	Caceres	Valencia	59.49
787	Vigas Figas	1	30	34	10/05/2003	Guadalajara	Almeria	115.64
788	Vigas Figas	2	96	19	26/06/2002	Zaragoza	Sevilla	136.2
789	Infraestructuras Fracturas	1	82	69	29/11/2005	Santa Cruz de Tenerife	Tarragona	5.04
790	Electronica Chispas	1	53	48	19/07/2000	Castellon	Guadalajara	9.57
791	Pepe Gotera y Otilio	1	43	35	07/02/2003	Segovia	Burgos	13.88
792	Electronica Chispas	3	29	24	30/11/2000	Soria	Valladolid	224.3
793	Pepe Gotera y Otilio	2	97	11	14/09/2001	Burgos	Guadalajara	144.77
794	Electronica Chispas	3	2	83	30/09/2006	Palencia	Soria	5.55
795	Pepe Gotera y Otilio	2	19	23	08/10/2002	Burgos	Ciudad Real	113.75
796	Quimicas Babum	3	19	98	19/12/2003	Valencia	Logrono	28.91
797	Coches Coco	3	6	96	08/03/2000	Burgos	Teruel	300.56
798	Quimicas Babum	1	9	97	27/11/2001	Gerona	Lerida	75.34
799	Cafes el amanencer	3	32	93	19/02/2007	Toledo	Cuenca	75.15
800	Infraestructuras Fracturas	2	97	98	06/06/2000	Teruel	Cadiz	162.92
801	Cafes el amanencer	3	6	87	24/10/2001	Ceuta	Leon	16.7
802	Cafes el amanencer	2	74	9	08/12/2003	Zaragoza	Caceres	23.42
803	Vigas Figas	1	69	87	04/08/2001	Barcelona	San Sebastian	46.03
804	Coches Coco	1	15	68	12/09/2000	Madrid	Malaga	139.3
805	Infraestructuras Fracturas	2	60	7	14/11/2001	Teruel	Caceres	185.21
806	Cafes el amanencer	2	44	74	20/07/2000	Burgos	Guadalajara	247.1
807	Vigas Figas	3	63	89	04/02/2007	Santa Cruz de Tenerife	Leon	382.25
808	Vigas Figas	1	79	58	10/06/2007	Guadalajara	Avila	45.46
809	Cafes el amanencer	2	96	65	15/07/2001	Cuenca	Melilla	395.78
810	Pepe Gotera y Otilio	1	76	35	22/04/2007	Oviedo	Cadiz	113.77
811	Cafes el amanencer	3	8	29	19/03/2005	Segovia	Alicante	135.0
812	Electronica Chispas	2	37	57	12/01/2004	Avila	Murcia	246.89
813	Electronica Chispas	2	93	22	21/08/2005	Salamanca	Bilbao	127.65
814	Coches Coco	3	65	25	26/10/2002	Palma de Mallorca	Orense	133.55
815	Electronica Chispas	2	3	55	03/01/2003	Salamanca	Albacete	21.35
816	Infraestructuras Fracturas	2	91	87	19/09/2005	Teruel	Vitoria	176.81
817	Vigas Figas	1	10	61	12/02/2002	Sevilla	Lugo	62.7
818	Cafes el amanencer	3	55	100	25/03/2002	Teruel	Santander	23.44
819	Electronica Chispas	2	53	58	28/12/2007	Almeria	Ceuta	249.29
820	Coches Coco	2	43	45	11/05/2007	Lugo	La Coruna	56.42
821	Cafes el amanencer	3	78	32	26/08/2002	Las Palmas de Gran Canaria	Huelva	137.25
822	Pepe Gotera y Otilio	2	35	30	29/11/2007	Pontevedra	Caceres	43.7
823	Vigas Figas	2	22	2	12/09/2005	Tarragona	San Sebastian	31.97
824	Quimicas Babum	2	44	0	01/07/2007	Santander	Santa Cruz de Tenerife	290.3
825	Pepe Gotera y Otilio	2	11	5	05/06/2007	Murcia	Huesca	3.85
826	Vigas Figas	2	54	11	31/10/2000	Toledo	Alicante	207.76
827	Cafes el amanencer	1	57	50	05/12/2001	Cuenca	Palma de Mallorca	97.82
828	Infraestructuras Fracturas	2	16	97	18/07/2002	Granada	Lerida	112.28
829	Pepe Gotera y Otilio	2	5	21	05/06/2003	Burgos	Sevilla	206.27
830	Electronica Chispas	2	55	81	27/10/2007	Cuenca	Las Palmas de Gran Canaria	0.8
831	Electronica Chispas	1	48	39	23/08/2002	Soria	Toledo	127.42
832	Infraestructuras Fracturas	2	71	17	19/12/2002	San Sebastian	Zamora	112.58
833	Quimicas Babum	2	53	14	11/05/2005	Logrono	Logrono	31.77
834	Pepe Gotera y Otilio	2	44	34	25/03/2005	Palma de Mallorca	Salamanca	177.06
835	Electronica Chispas	2	83	17	11/07/2000	Zamora	Murcia	102.8
836	Electronica Chispas	2	67	8	26/02/2007	Santander	Madrid	115.41
837	Infraestructuras Fracturas	2	11	17	02/02/2003	Cordoba	Salamanca	78.7
838	Pepe Gotera y Otilio	2	23	7	01/07/2002	Almeria	Jaen	30.79
839	Pepe Gotera y Otilio	1	12	53	21/05/2006	Logrono	Orense	202.42
840	Pepe Gotera y Otilio	1	6	32	31/12/2001	San Sebastian	Palma de Mallorca	6.54
841	Infraestructuras Fracturas	1	28	61	28/01/2006	Granada	San Sebastian	17.76
842	Vigas Figas	1	89	12	06/02/2007	Almeria	Las Palmas de Gran Canaria	45.72
843	Cafes el amanencer	3	97	38	14/10/2006	Ciudad Real	Cordoba	30.64
844	Cafes el amanencer	3	55	88	24/06/2006	Alicante	Castellon	94.68
845	Pepe Gotera y Otilio	2	10	90	04/04/2006	Santander	Badajoz	33.6
846	Infraestructuras Fracturas	3	31	96	03/12/2006	Leon	Vitoria	8.53
847	Quimicas Babum	3	53	12	12/09/2002	Jaen	Lugo	223.38
848	Coches Coco	3	35	52	21/09/2003	Valencia	Ceuta	1.18
849	Infraestructuras Fracturas	3	11	77	03/02/2003	Alicante	Logrono	367.41
850	Infraestructuras Fracturas	2	93	83	22/09/2004	Cordoba	Toledo	6.06
851	Coches Coco	2	80	66	29/06/2001	Valencia	Cadiz	58.13
852	Quimicas Babum	1	0	22	24/11/2005	Soria	Ciudad Real	123.85
853	Vigas Figas	1	55	41	09/10/2007	Tarragona	Pamplona	58.84
854	Cafes el amanencer	2	9	92	21/01/2004	Sevilla	Huesca	384.56
855	Quimicas Babum	2	37	7	19/09/2003	Palma de Mallorca	Segovia	7.89
856	Pepe Gotera y Otilio	3	21	74	20/07/2007	Burgos	Lerida	82.66
857	Vigas Figas	3	18	56	21/05/2001	Murcia	Zamora	0.96
858	Pepe Gotera y Otilio	1	91	78	26/02/2002	Palma de Mallorca	Burgos	1.92
859	Electronica Chispas	1	89	51	06/02/2007	Valencia	Pontevedra	141.01
860	Quimicas Babum	1	45	84	28/09/2003	Pamplona	Cadiz	178.42
861	Pepe Gotera y Otilio	3	71	0	31/01/2001	Las Palmas de Gran Canaria	Murcia	142.41
862	Pepe Gotera y Otilio	2	35	76	19/06/2006	Ceuta	Toledo	0.53
863	Quimicas Babum	1	54	85	26/09/2004	Tarragona	Alicante	11.17
864	Quimicas Babum	3	63	13	31/10/2000	Caceres	Santa Cruz de Tenerife	306.87
865	Infraestructuras Fracturas	3	45	80	10/12/2005	Las Palmas de Gran Canaria	Alicante	236.23
866	Quimicas Babum	1	11	8	10/04/2002	Almeria	Barcelona	32.56
867	Pepe Gotera y Otilio	1	3	18	28/08/2005	Pontevedra	Palma de Mallorca	35.7
868	Vigas Figas	1	48	27	29/01/2006	Murcia	Soria	0.04
869	Vigas Figas	1	65	4	16/01/2003	Cordoba	Alicante	104.11
870	Infraestructuras Fracturas	2	28	72	01/08/2002	Ceuta	Pamplona	244.58
871	Cafes el amanencer	1	37	33	16/02/2007	Santander	Murcia	120.48
872	Coches Coco	1	80	24	19/08/2001	Bilbao	Teruel	13.9
873	Infraestructuras Fracturas	2	52	98	21/09/2006	Murcia	Gerona	143.96
874	Infraestructuras Fracturas	2	53	9	27/05/2003	Avila	Palencia	301.56
875	Coches Coco	1	99	22	14/02/2004	Cuenca	Lerida	159.34
876	Infraestructuras Fracturas	2	36	32	29/10/2004	Teruel	Zamora	36.5
877	Pepe Gotera y Otilio	1	78	79	07/05/2006	Oviedo	Valencia	213.61
878	Vigas Figas	2	81	67	09/05/2005	Pamplona	Valencia	142.43
879	Coches Coco	1	50	66	28/03/2000	Zaragoza	Ciudad Real	24.02
880	Pepe Gotera y Otilio	2	56	54	13/08/2000	Palma de Mallorca	Pontevedra	70.4
881	Pepe Gotera y Otilio	1	40	83	29/04/2002	Vitoria	Tarragona	116.41
882	Quimicas Babum	3	3	22	11/06/2001	Las Palmas de Gran Canaria	San Sebastian	4.69
883	Vigas Figas	1	65	87	04/12/2004	Melilla	Zamora	62.31
884	Infraestructuras Fracturas	3	76	72	08/10/2001	Palma de Mallorca	Lerida	219.1
885	Pepe Gotera y Otilio	1	32	39	18/05/2003	Granada	Valladolid	108.75
886	Coches Coco	1	53	30	15/05/2002	Santa Cruz de Tenerife	Gerona	116.98
887	Infraestructuras Fracturas	2	95	36	12/09/2007	Granada	Jaen	127.68
888	Infraestructuras Fracturas	1	59	92	01/04/2005	Murcia 	Melilla	5.16
889	Pepe Gotera y Otilio	1	20	78	13/10/2002	Avila	Huesca	35.97
890	Coches Coco	3	42	62	26/01/2005	Valladolid	Jaen	364.75
891	Coches Coco	3	16	81	29/05/2004	Palma de Mallorca	Toledo	289.1
892	Infraestructuras Fracturas	1	35	98	29/10/2003	Segovia	Pamplona	14.01
893	Cafes el amanencer	2	90	76	21/06/2006	Castellon	Cordoba	348.23
894	Pepe Gotera y Otilio	1	24	48	13/11/2004	Lugo	Oviedo	86.83
895	Infraestructuras Fracturas	1	48	71	22/11/2003	Gerona	Almeria	31.56
896	Electronica Chispas	1	62	10	30/01/2002	Melilla	Jaen	9.9
897	Vigas Figas	2	31	36	19/06/2003	Malaga	Ciudad Real	226.28
898	Coches Coco	1	23	64	06/05/2000	Bilbao	Caceres	85.91
899	Vigas Figas	1	50	33	05/04/2000	Valladolid	Salamanca	349.16
900	Pepe Gotera y Otilio	1	55	30	23/03/2001	Sevilla	Logrono	177.28
901	Coches Coco	2	21	32	09/08/2006	Granada	La Coruna	100.2
902	Cafes el amanencer	1	13	57	15/03/2007	Palencia	Leon	32.79
903	Vigas Figas	3	32	10	08/11/2003	Caceres	La Coruna	34.68
904	Cafes el amanencer	3	99	85	09/09/2007	Soria	Avila	290.11
905	Infraestructuras Fracturas	1	35	99	22/05/2001	Sevilla	Teruel	14.73
906	Coches Coco	1	60	5	17/05/2002	Malaga	Logrono	71.88
907	Infraestructuras Fracturas	3	75	48	13/12/2006	Barcelona	Badajoz	47.87
908	Coches Coco	1	29	58	23/12/2006	Badajoz	Valladolid	89.68
909	Cafes el amanencer	3	41	91	20/11/2003	Tarragona	Santander	293.62
910	Electronica Chispas	3	55	15	19/05/2000	Las Palmas de Gran Canaria	Segovia	367.58
911	Cafes el amanencer	2	97	91	27/01/2000	Vitoria	Oviedo	38.59
912	Coches Coco	3	43	46	03/11/2004	Almeria	Pamplona	130.72
913	Coches Coco	2	51	54	24/10/2001	Badajoz	Cadiz	0.36
914	Electronica Chispas	3	41	59	30/09/2007	Segovia	Santa Cruz de Tenerife	67.75
915	Electronica Chispas	3	28	87	14/07/2000	Valencia	Salamanca	109.48
916	Vigas Figas	2	50	55	20/09/2002	Guadalajara	Zaragoza	145.53
917	Vigas Figas	3	27	79	07/02/2001	Cuenca	Santa Cruz de Tenerife	2.73
918	Cafes el amanencer	3	3	89	14/05/2007	Albacete	Pamplona	74.82
919	Cafes el amanencer	2	7	3	03/10/2000	Burgos	Pontevedra	328.33
920	Electronica Chispas	3	39	73	05/09/2007	Jaen	Pamplona	201.33
921	Electronica Chispas	2	9	76	11/11/2007	San Sebastian	Cuenca	53.46
922	Electronica Chispas	3	80	65	02/12/2003	Jaen	Melilla	72.12
923	Vigas Figas	1	26	48	07/03/2005	Barcelona	Cuenca	268.43
924	Pepe Gotera y Otilio	3	96	83	23/01/2006	Orense	Albacete	408.18
925	Vigas Figas	1	59	14	01/12/2007	Cordoba	Toledo	171.57
926	Infraestructuras Fracturas	2	0	71	30/01/2005	Avila	Murcia	33.83
927	Cafes el amanencer	1	6	67	26/07/2003	Huesca	Cuenca	290.11
928	Cafes el amanencer	3	44	49	16/08/2001	Pamplona	Madrid	280.67
929	Electronica Chispas	2	62	1	06/09/2000	Zaragoza	Valencia	106.66
930	Vigas Figas	1	18	95	20/12/2006	Lerida	Cuenca	26.34
931	Cafes el amanencer	3	100	52	31/01/2005	Pontevedra	Valladolid	345.48
932	Electronica Chispas	2	87	62	24/07/2003	Valladolid	Castellon	0.29
933	Quimicas Babum	2	5	100	09/02/2001	Cordoba	Tarragona	161.71
934	Pepe Gotera y Otilio	1	13	68	17/12/2002	Logrono	Granada	13.28
935	Pepe Gotera y Otilio	3	7	98	04/06/2005	Lugo	Granada	60.55
936	Coches Coco	3	71	15	23/06/2001	Avila	Teruel	108.12
937	Quimicas Babum	3	37	5	24/08/2003	Almeria	Cuenca	73.33
938	Coches Coco	1	14	71	03/08/2000	Granada	Toledo	78.97
939	Cafes el amanencer	1	73	23	20/10/2005	Sevilla	Tarragona	59.09
940	Cafes el amanencer	3	59	52	21/04/2002	Valencia	Palma de Mallorca	208.77
941	Electronica Chispas	1	54	0	15/09/2005	Zaragoza	Caceres	43.23
942	Electronica Chispas	3	80	71	14/06/2007	Vitoria	Avila	38.07
943	Electronica Chispas	3	58	76	17/02/2004	Valencia	Avila	119.14
944	Quimicas Babum	1	11	5	27/02/2007	Huelva	Salamanca	208.8
945	Cafes el amanencer	3	33	36	06/01/2002	Soria	Almeria	79.42
946	Coches Coco	2	72	6	04/11/2004	Las Palmas de Gran Canaria	Santa Cruz de Tenerife	75.34
947	Pepe Gotera y Otilio	1	35	9	30/10/2007	Caceres	Badajoz	31.16
948	Vigas Figas	2	86	76	28/10/2006	Albacete	Burgos	69.47
949	Cafes el amanencer	1	34	83	29/10/2000	Ciudad Real	Alicante	73.91
950	Coches Coco	1	1	15	03/02/2007	Orense	Bilbao	257.59
951	Vigas Figas	2	27	86	11/02/2006	Zamora	Ceuta	159.67
952	Electronica Chispas	2	8	38	20/06/2003	Tarragona	Leon	17.64
953	Pepe Gotera y Otilio	1	7	86	08/07/2004	Palencia	Santander	18.03
954	Cafes el amanencer	2	28	13	08/09/2004	Caceres	Zamora	211.89
955	Pepe Gotera y Otilio	1	96	80	16/07/2007	Salamanca	Jaen	173.14
956	Electronica Chispas	3	18	31	21/11/2002	Murcia	Almeria	58.58
957	Cafes el amanencer	1	76	77	29/03/2005	Valencia	Almeria	153.39
958	Quimicas Babum	1	67	80	09/10/2007	Melilla	Pontevedra	122.85
959	Electronica Chispas	3	10	79	23/06/2005	Lugo	Caceres	26.34
960	Cafes el amanencer	1	52	35	24/02/2001	Cadiz	Oviedo	29.3
961	Quimicas Babum	3	41	17	18/11/2007	Logrono	Malaga	185.85
962	Pepe Gotera y Otilio	1	58	96	25/11/2007	Ciudad Real	La Coruna	15.71
963	Quimicas Babum	1	2	41	01/03/2000	Murcia	Cadiz	205.64
964	Coches Coco	3	96	42	16/09/2000	Segovia	Huesca	97.13
965	Pepe Gotera y Otilio	2	45	94	01/11/2003	Cuenca	Granada	78.2
966	Electronica Chispas	2	54	26	21/11/2007	Vitoria	Orense	112.04
967	Vigas Figas	1	35	85	21/06/2005	Cadiz	Lugo	18.2
968	Pepe Gotera y Otilio	2	33	72	05/12/2001	Madrid	Toledo	209.44
969	Coches Coco	3	56	76	08/03/2007	Ceuta	Huelva	125.08
970	Pepe Gotera y Otilio	2	92	51	23/07/2007	Albacete	Bilbao	85.33
971	Vigas Figas	1	70	38	25/07/2003	Huelva	Segovia	131.87
972	Vigas Figas	1	40	90	02/06/2000	Melilla	Ceuta	264.91
973	Quimicas Babum	3	20	95	11/06/2007	Santa Cruz de Tenerife	Ceuta	29.83
974	Electronica Chispas	2	99	61	10/03/2003	Las Palmas de Gran Canaria	Jaen	114.77
975	Coches Coco	3	32	15	06/08/2000	Soria	Logrono	68.33
976	Infraestructuras Fracturas	1	15	0	14/09/2006	Castellon	Gerona	180.82
977	Infraestructuras Fracturas	3	67	75	04/12/2004	Segovia	Oviedo	355.86
978	Quimicas Babum	1	75	55	24/03/2005	Albacete	Caceres	40.45
979	Vigas Figas	1	10	63	24/04/2001	Lugo	San Sebastian	5.66
980	Pepe Gotera y Otilio	1	12	50	22/01/2001	Salamanca	Avila	126.45
981	Cafes el amanencer	1	80	6	14/09/2007	Barcelona	Madrid	6.96
982	Pepe Gotera y Otilio	3	8	100	31/10/2007	Tarragona	Vitoria	26.86
983	Electronica Chispas	3	73	22	25/06/2006	Salamanca	Palma de Mallorca	293.79
984	Quimicas Babum	2	75	66	22/03/2002	Teruel	Ciudad Real	334.56
985	Cafes el amanencer	2	27	85	28/11/2005	Tarragona	Santa Cruz de Tenerife	20.33
986	Cafes el amanencer	3	48	88	29/02/2000	San Sebastian	Ceuta	1.88
987	Cafes el amanencer	3	54	97	04/08/2002	Guadalajara	Badajoz	38.09
988	Quimicas Babum	2	36	15	03/04/2007	Tarragona	Almeria	26.69
989	Vigas Figas	3	18	15	20/06/2002	Teruel	Leon	37.76
990	Cafes el amanencer	1	65	88	28/08/2004	Santa Cruz de Tenerife	Vitoria	36.11
991	Coches Coco	2	24	74	10/10/2002	Murcia	Palencia	76.17
992	Infraestructuras Fracturas	2	56	10	16/05/2005	Ciudad Real	Sevilla	53.17
993	Pepe Gotera y Otilio	2	33	45	30/12/2003	Zamora	Badajoz	204.19
994	Pepe Gotera y Otilio	2	33	57	26/06/2006	Logrono	Segovia	83.54
995	Infraestructuras Fracturas	2	20	48	28/05/2003	Lugo	Toledo	94.53
996	Cafes el amanencer	1	57	28	30/11/2005	Ceuta	Palencia	41.49
997	Infraestructuras Fracturas	3	98	36	01/01/2004	Palencia	Huelva	217.16
998	Vigas Figas	2	65	29	30/08/2005	Albacete	Huesca	163.93
999	Infraestructuras Fracturas	2	8	38	07/05/2000	Palma de Mallorca	Sevilla	10.98
